Key_category,Key_subcategory,Key,Value,Description,Element
amenity,transportation,amenity,grit_bin,A container that holds grit or a mixture of salt and grit.,node
amenity,transportation,amenity,motorcycle_parking,Parking for motorcycles,node / area
amenity,transportation,amenity,parking,Parking area for vehicles. Streets on car parking are often tagged highway=service and service=parking_aisle.,node / area
amenity,transportation,amenity,parking_entrance,An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking,node
amenity,transportation,amenity,parking_space,A single parking space within a car park. Parking spaces should be mapped within an amenity=parking area. Group multiple parking spaces together with a relation using the tags type=site and site=parking,node / area
amenity,transportation,amenity,taxi,A place where taxis wait for passengers.,node / area
amenity,transportation,amenity,weighbridge,A large weight scale to weigh vehicles and goods,node / area
amenity,financial,amenity,atm,Automated teller machine (ATM) or cashpoint: a device that provides the clients of a financial institution with access to financial transactions.,node
amenity,financial,amenity,payment_terminal,Self-service payment kiosk/terminal,node
amenity,financial,amenity,bank,"Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds.",node / area
amenity,financial,amenity,bureau_de_change,"Bureau de change, money changer, currency exchange, Wechsel, cambio – a place to change foreign bank notes and travellers cheques.",node / area
amenity,financial,amenity,money_transfer,"A place that offers money transfers, especially cash to cash",node / area
amenity,financial,amenity,payment_centre,"A non-bank place, where people can pay bills of public and private services and taxes.",node / area
amenity,healthcare,amenity,baby_hatch,"A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted.",node / area
amenity,healthcare,amenity,clinic,A medium-sized medical facility or health centre.,node / area
amenity,healthcare,amenity,dentist,A dentist practice / surgery.,node / area
amenity,healthcare,amenity,doctors,A doctor's practice / surgery.,node / area
amenity,healthcare,amenity,hospital,A hospital providing in-patient medical treatment. Often used in conjunction with emergency=* to note whether the medical centre has emergency facilities (A&E (brit.) or ER (am.)),node / area
amenity,healthcare,amenity,nursing_home,Discouraged tag for a home for disabled or elderly persons who need permanent care. Use amenity=social_facility + social_facility=nursing_home now.,node / area
amenity,healthcare,amenity,pharmacy,"Pharmacy: a shop where a pharmacist sells medications
dispensing=yes/no - availability of prescription-only medications",node / area
amenity,healthcare,amenity,social_facility,"A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc.",node / area
amenity,healthcare,amenity,veterinary,"A place where a veterinary surgeon, also known as a veterinarian or vet, practices.",node / area
amenity,"entertainment, arts & culture",amenity,arts_centre,A venue where a variety of arts are performed or conducted,node / area
amenity,"entertainment, arts & culture",amenity,brothel,An establishment specifically dedicated to prostitution,node / area
amenity,"entertainment, arts & culture",amenity,casino,"A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds.",node / area
amenity,"entertainment, arts & culture",amenity,cinema,A place where films are shown (US: movie theater),node / area
amenity,"entertainment, arts & culture",amenity,community_centre,"A place mostly used for local events, festivities and group activities; including special interest and special age groups. .",node / area
amenity,"entertainment, arts & culture",amenity,conference_centre,A large building that is used to hold a convention,node / area
amenity,"entertainment, arts & culture",amenity,events_venue,A building specifically used for organising events,node / area
amenity,"entertainment, arts & culture",amenity,exhibition_centre,An exhibition centre,node / area
amenity,"entertainment, arts & culture",amenity,fountain,A fountain for cultural / decorational / recreational purposes.,node / area
amenity,"entertainment, arts & culture",amenity,gambling,"A place for gambling, not being a shop=bookmaker, shop=lottery, amenity=casino, or leisure=adult_gaming_centre.
Games that are covered by this definition include bingo and pachinko.",node / area
amenity,"entertainment, arts & culture",amenity,love_hotel,A love hotel is a type of short-stay hotel operated primarily for the purpose of allowing guests privacy for sexual activities.,node / area
amenity,"entertainment, arts & culture",amenity,music_venue,An indoor place to hear contemporary live music.,node / area
amenity,"entertainment, arts & culture",amenity,nightclub,"A place to drink and dance (nightclub). The German word is ""Disco"" or ""Discothek"". Please don't confuse this with the German ""Nachtclub"" which is most likely amenity=stripclub.",node / area
amenity,"entertainment, arts & culture",amenity,planetarium,A planetarium.,node / area
amenity,"entertainment, arts & culture",amenity,public_bookcase,A street furniture containing books. Take one or leave one.,node / area
amenity,"entertainment, arts & culture",amenity,social_centre,A place for free and not-for-profit activities.,node / area
amenity,"entertainment, arts & culture",amenity,stage,A raised platform for performers.,node / area
amenity,"entertainment, arts & culture",amenity,stripclub,A place that offers striptease or lapdancing (for sexual services use amenity=brothel).,node
amenity,"entertainment, arts & culture",amenity,studio,TV radio or recording studio,node / area
amenity,"entertainment, arts & culture",amenity,swingerclub,A club where people meet to have a party and group sex.,node / area
amenity,"entertainment, arts & culture",amenity,theatre,"A theatre or opera house where live performances occur, such as plays, musicals and formal concerts. Use amenity=cinema for movie theaters.",node / area
amenity,public service,amenity,courthouse,"A building home to a court of law, where justice is dispensed",node / area
amenity,public service,amenity,fire_station,A station of a fire brigade,node / area
amenity,public service,amenity,police,A police station where police officers patrol from and that is a first point of contact for civilians,node / area
amenity,public service,amenity,post_box,A box for the reception of mail. Alternative mail-carriers can be tagged via operator=*,node
amenity,public service,amenity,post_depot,"Post depot or delivery office, where letters and parcels are collected and sorted prior to delivery.",node / area
