Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Description;Element
grit bin;3;amenity;transportation;grit bin;A container that holds grit or a mixture of salt and grit.;node
motorcycle parking;3;amenity;transportation;motorcycle parking;Parking for motorcycles;node / area
parking;3;amenity;transportation;parking;Parking area for vehicles. Streets on car parking are often tagged highway=service and service=parking_aisle.;node / area
parking entrance;3;amenity;transportation;parking entrance;An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking;node
parking space;3;amenity;transportation;parking space;A single parking space within a car park. Parking spaces should be mapped within an amenity=parking area. Group multiple parking spaces together with a relation using the tags type=site and site=parking;node / area
taxi;3;amenity;transportation;taxi;A place where taxis wait for passengers.;node / area
weighbridge;3;amenity;transportation;weighbridge;A large weight scale to weigh vehicles and goods;node / area
atm;3;amenity;financial;atm;Automated teller machine (ATM) or cashpoint: a device that provides the clients of a financial institution with access to financial transactions.;node
payment terminal;3;amenity;financial;payment terminal;Self-service payment kiosk/terminal;node
bank;3;amenity;financial;bank;Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds.;node / area
bureau de change;3;amenity;financial;bureau de change;Bureau de change, money changer, currency exchange, Wechsel, cambio – a place to change foreign bank notes and travellers cheques.;node / area
money transfer;3;amenity;financial;money transfer;A place that offers money transfers, especially cash to cash;node / area
payment centre;3;amenity;financial;payment centre;A non-bank place, where people can pay bills of public and private services and taxes.;node / area
baby hatch;3;amenity;healthcare;baby hatch;A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted.;node / area
clinic;3;amenity;healthcare;clinic;A medium-sized medical facility or health centre.;node / area
dentist;3;amenity;healthcare;dentist;A dentist practice / surgery.;node / area
doctors;3;amenity;healthcare;doctors;A doctor's practice / surgery.;node / area
hospital;3;amenity;healthcare;hospital;A hospital providing in-patient medical treatment. Often used in conjunction with emergency=* to note whether the medical centre has emergency facilities (A&E (brit.) or ER (am.));node / area
nursing home;3;amenity;healthcare;nursing home;Discouraged tag for a home for disabled or elderly persons who need permanent care. Use amenity=social_facility + social_facility=nursing_home now.;node / area
pharmacy;3;amenity;healthcare;pharmacy;"Pharmacy: a shop where a pharmacist sells medications
dispensing=yes/no - availability of prescription-only medications";node / area
social facility;3;amenity;healthcare;social facility;A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc.;node / area
veterinary;3;amenity;healthcare;veterinary;A place where a veterinary surgeon, also known as a veterinarian or vet, practices.;node / area
arts centre;3;amenity;entertainment, arts & culture;arts centre;A venue where a variety of arts are performed or conducted;node / area
brothel;3;amenity;entertainment, arts & culture;brothel;An establishment specifically dedicated to prostitution;node / area
casino;3;amenity;entertainment, arts & culture;casino;A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds.;node / area
cinema;3;amenity;entertainment, arts & culture;cinema;A place where films are shown (US: movie theater);node / area
community centre;3;amenity;entertainment, arts & culture;community centre;"A place mostly used for local events, festivities and group activities; including special interest and special age groups. .";node / area
conference centre;3;amenity;entertainment, arts & culture;conference centre;A large building that is used to hold a convention;node / area
events venue;3;amenity;entertainment, arts & culture;events venue;A building specifically used for organising events;node / area
exhibition centre;3;amenity;entertainment, arts & culture;exhibition centre;An exhibition centre;node / area
fountain;3;amenity;entertainment, arts & culture;fountain;A fountain for cultural / decorational / recreational purposes.;node / area
gambling;3;amenity;entertainment, arts & culture;gambling;"A place for gambling, not being a shop=bookmaker, shop=lottery, amenity=casino, or leisure=adult_gaming_centre.
Games that are covered by this definition include bingo and pachinko.";node / area
love hotel;3;amenity;entertainment, arts & culture;love hotel;A love hotel is a type of short-stay hotel operated primarily for the purpose of allowing guests privacy for sexual activities.;node / area
music venue;3;amenity;entertainment, arts & culture;music venue;An indoor place to hear contemporary live music.;node / area
nightclub;3;amenity;entertainment, arts & culture;nightclub;"A place to drink and dance (nightclub). The German word is ""Disco"" or ""Discothek"". Please don't confuse this with the German ""Nachtclub"" which is most likely amenity=stripclub.";node / area
planetarium;3;amenity;entertainment, arts & culture;planetarium;A planetarium.;node / area
public bookcase;3;amenity;entertainment, arts & culture;public bookcase;A street furniture containing books. Take one or leave one.;node / area
social centre;3;amenity;entertainment, arts & culture;social centre;A place for free and not-for-profit activities.;node / area
stage;3;amenity;entertainment, arts & culture;stage;A raised platform for performers.;node / area
stripclub;3;amenity;entertainment, arts & culture;stripclub;A place that offers striptease or lapdancing (for sexual services use amenity=brothel).;node
studio;3;amenity;entertainment, arts & culture;studio;TV radio or recording studio;node / area
swingerclub;3;amenity;entertainment, arts & culture;swingerclub;A club where people meet to have a party and group sex.;node / area
theatre;3;amenity;entertainment, arts & culture;theatre;A theatre or opera house where live performances occur, such as plays, musicals and formal concerts. Use amenity=cinema for movie theaters.;node / area
courthouse;3;amenity;public service;courthouse;A building home to a court of law, where justice is dispensed;node / area
fire station;3;amenity;public service;fire station;A station of a fire brigade;node / area
police;3;amenity;public service;police;A police station where police officers patrol from and that is a first point of contact for civilians;node / area
post box;3;amenity;public service;post box;A box for the reception of mail. Alternative mail-carriers can be tagged via operator=*;node
post depot;3;amenity;public service;post depot;Post depot or delivery office, where letters and parcels are collected and sorted prior to delivery.;node / area
post office;3;amenity;public service;post office;Post office building with postal services;node / area
prison;3;amenity;public service;prison;A prison or jail where people are incarcerated before trial or after conviction;node / area
ranger station;3;amenity;public service;ranger station;National Park visitor headquarters: official park visitor facility with police, visitor information, permit services, etc;node / area
townhall;3;amenity;public service;townhall;Building where the administration of a village, town or city may be located, or just a community meeting place;node / area
