Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Description;Element
synagogue;3;building;religious;synagogue;A building that was built as a synagogue. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.;
temple;3;building;religious;temple;A building that was built as a temple. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.;
bakehouse;3;building;civic/amenity;bakehouse;A building that was built as a bakehouse (i.e. for baking bread). Often used in conjunction with another node amenity=baking_oven and oven=wood_fired.;
bridge;3;building;civic/amenity;bridge;A building used as a bridge (skyway). To map a gatehouse use building=gatehouse. See also bridge=yes for highway=*. Don't use this tag just for marking bridges (their outlines). For such purposes use man_made=bridge.;
civic;3;building;civic/amenity;civic;A generic tag for a building created to house some civic amenity, for example amenity=community_centre, amenity=library, amenity=toilets, leisure=sports_centre, leisure=swimming_pool, amenity=townhall etc. Use amenity=* or leisure=* etc. to provide further details. See building=public and more specific tags like building=library as well.;
college;3;building;civic/amenity;college;A college building. Use amenity=college on the whole college area to represent the college as an institution.;
fire station;3;building;civic/amenity;fire station;A building constructed as fire station, i.e. to house fire fighting equipment and officers, regardless of current use. Add amenity=fire_station on the grounds for an active fire station.;
government;3;building;civic/amenity;government;For government buildings in general, including municipal, provincial and divisional secretaries, government agencies and departments, town halls, (regional) parliaments and court houses.;
gatehouse;3;building;civic/amenity;gatehouse;An entry control point building, spanning over a highway that enters a city or compound.;
hospital;3;building;civic/amenity;hospital;A building errected for a hospital. Use amenity=hospital for the hospital grounds.;
kindergarten;3;building;civic/amenity;kindergarten;For any generic kindergarten buildings. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. If there is currently a kindergarten in the building, use amenity=kindergarten on the perimeter of the kindergarten grounds.;
museum;3;building;civic/amenity;museum;A building which was designed as a museum.;
public;3;building;civic/amenity;public;A building constructed as accessible to the general public (a town hall, police station, court house, etc.).;
school;3;building;civic/amenity;school;A building errected as school. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. If there is currently a school, use amenity=school on the perimeter of the school grounds.;
toilets;3;building;civic/amenity;toilets;A toilet block.;
train station;3;building;civic/amenity;train station;A building constructed to be a train station building, including buildings that are abandoned and used nowadays for a different purpose.;
transportation;3;building;civic/amenity;transportation;A building related to public transport. You will probably want to tag it with proper transport related tag as well, such as public_transport=station. Note that there is a special tag for train station buildings - building=train_station.;
university;3;building;civic/amenity;university;A university building. Use amenity=university for the university as an institution.;
barn;3;building;agricultural/plant production;barn;An agricultural building that can be used for storage and as a covered workplace.;
conservatory;3;building;agricultural/plant production;conservatory;A building or room having glass or tarpaulin roofing and walls used as an indoor garden or a sunroom (winter garden).;
cowshed;3;building;agricultural/plant production;cowshed;A cowshed (cow barn, cow house) is a building for housing cows, usually found on farms.;
farm auxiliary;3;building;agricultural/plant production;farm auxiliary;A building on a farm that is not a dwelling (use 'farm' or 'house' for the farm house).;
greenhouse;3;building;agricultural/plant production;greenhouse;A greenhouse is a glass or plastic covered building used to grow plants. Use landuse=greenhouse_horticulture for an area containing multiple greenhouses;
slurry tank;3;building;agricultural/plant production;slurry tank;A circular building built to hold a liquid mix of primarily animal excreta (also known as slurry).;
stable;3;building;agricultural/plant production;stable;A building constructed as a stable for horses.;
sty;3;building;agricultural/plant production;sty;A sty (pigsty, pig ark, pig-shed) is a building for raising domestic pigs, usually found on farms.;
livestock;3;building;agricultural/plant production;livestock;A building for housing/rising other livestock (apart from cows, horses or pigs covered above), or when the livestock changes.;
grandstand;3;building;sports;grandstand;The main stand, usually roofed, commanding the best view for spectators at racecourses or sports grounds.;
pavilion;3;building;sports;pavilion;A sports pavilion usually with changing rooms, storage areas and possibly an space for functions & events. Avoid using this term for other structures called pavilions by architects (see Pavilion);
riding hall;3;building;sports;riding hall;A building that was built as a riding hall.;
sports hall;3;building;sports;sports hall;A building that was built as a sports hall.;
sports centre;3;building;sports;sports centre;A building that was built as a sports centre.;
stadium;3;building;sports;stadium;A building constructed to be a stadium building, including buildings that are abandoned and used nowadays for a different purpose.;
allotment house;3;building;storage;allotment house;A small outbuilding for short visits in a allotment garden.;
boathouse;3;building;storage;boathouse;A boathouse is a building used for the storage of boats.;
hangar;3;building;storage;hangar;A hangar is a building used for the storage of airplanes, helicopters or space-craft. Consider adding aeroway=hangar, when appropriate.;
hut;3;building;storage;hut;A hut is a small and crude shelter. Note that this word has two meanings - it may be synonym of building=shed, it may be a residential building of low quality.;
shed;3;building;storage;shed;A shed is a simple, single-storey structure in a back garden or on an allotment that is used for storage, hobbies, or as a workshop.;
carport;3;building;cars;carport;A carport is a covered structure used to offer limited protection to vehicles, primarily cars, from the elements. Unlike most structures a carport does not have four walls, and usually has one or two.;
garage;3;building;cars;garage;A garage is a building suitable for the storage of one or possibly more motor vehicle or similar. See building=garages for larger shared buildings. For an aircraft garage, see building=hangar.;
garages;3;building;cars;garages;A building that consists of a number of discrete storage spaces for different owners/tenants. See also building=garage.;
parking;3;building;cars;parking;Structure purpose-built for parking cars.;
digester;3;building;power/technical buildings;digester;A digester is a bioreactor for the production of biogas from biomass.;
service;3;building;power/technical buildings;service;Service building usually is a small unmanned building with certain machinery (like pumps or transformers).;
tech cab;3;building;power/technical buildings;tech cab;Small prefabricated cabin structures for the air-conditioned accommodation of different technology.;
transformer tower;3;building;power/technical buildings;transformer tower;A transformer tower is a characteristic tall building comprising a distribution transformer and constructed to connect directly to a medium voltage overhead power line. Quite often the power line has since been undergrounded but the building may still serve as a substation. If the building is still in use as a substation it should additionally be tagged as power=substation + substation=minor_distribution.;
water tower;3;building;power/technical buildings;water tower;A water tower.;
storage tank;3;building;power/technical buildings;storage tank;Storage tanks are containers that hold liquids;
silo;3;building;power/technical buildings;silo;A silo is a building for storing bulk materials;
beach hut;3;building;other buildings;beach hut;A small, usually wooden, and often brightly coloured cabin or shelter above the high tide mark on popular bathing beaches.;
bunker;3;building;other buildings;bunker;A hardened military building. Also use military=bunker.;
castle;3;building;other buildings;castle;A building constructed as a castle. Can be further specified with historic=castle + castle_type=*.;
construction;3;building;other buildings;construction;Used for buildings under construction. Use construction=* to hold the value for the completed building.;
container;3;building;other buildings;container;For a container used as a permanent building. Do not map containers placed temporarily, for example used in shipping or construction.;
guardhouse;3;building;other buildings;guardhouse;Poste de garde.;
military;3;building;other buildings;military;A military building. Also use military=*.;
outbuilding;3;building;other buildings;outbuilding;A less important building near to and on the same piece of land as a larger building.;
pagoda;3;building;other buildings;pagoda;A building constructed as a pagoda.;
quonset hut;3;building;other buildings;quonset hut;A lightweight prefabricated structure in the shape of a semicircle.;
roof;3;building;other buildings;roof;A structure that consists of a roof with open sides, such as a rain shelter, and also gas stations;
ruins;3;building;other buildings;ruins;Frequently used for a house or other building that is abandoned and in poor repair. However, some believe this usage is incorrect, and the tag should only be used for buildings constructed as fake ruins (for example sham ruins in an English landscape garden). See also lifecycle tagging.;
ship;3;building;other buildings;ship;A decommissioned ship/submarine which stays in one place.;
tent;3;building;other buildings;tent;For a permanently placed tent. Do not map tents placed temporarily.;
tower;3;building;other buildings;tower;A tower-building.;
triumphal arch;3;building;other buildings;triumphal arch;A free-standing monumental structure in the shape of an archway with one or more arched passageways.;
windmill;3;building;other buildings;windmill;A building constructed as a traditional windmill, historically used to mill grain with wind power.;
agricultural engines;2;craft;agricultural engines;;A workplace or office of a person who plans and construct engines and tools for agricultural use.;node / area
atelier;2;craft;atelier;;A place where visual artists work;node / area
bag repair;2;craft;bag repair;;A place where bags/luggage are repaired.;node / area
bakery;2;craft;bakery;;A workplace for fresh bakery goods. May have no shop or be combined with a shop.;node / area
basket maker;2;craft;basket maker;;A person weaving baskets.;node / area
beekeeper;2;craft;beekeeper;;The workplace of a beekeeper (apiarist).;node / area
blacksmith;2;craft;blacksmith;;A place where a blacksmith forges tools, horseshoes, etc. from iron.;node / area
boatbuilder;2;craft;boatbuilder;;A workplace where boats are planned and constructed;node / area
bookbinder;2;craft;bookbinder;;A workplace for physically assembling a book from a number of sheets of paper.;node / area
brewery;2;craft;brewery;;A dedicated building for the making of beer.;node / area
builder;2;craft;builder;;A workplace or office of a tradesman who performs structural alterations and additions to buildings.;node / area
cabinet maker;2;craft;cabinet maker;;A person who makes fine wooden furniture;node / area
candlemaker;2;craft;candlemaker;;A person who makes candles or a manufactory where candles were made.;node / area
car painter;2;craft;car painter;;A place specializing in painting cars.;node / area
carpenter;2;craft;carpenter;;A workplace or office of carpenters that work with timber to construct, install and maintain buildings, furniture, and other objects.;node / area
carpet cleaner;2;craft;carpet cleaner;;A carpet cleaner is a tradesman who specializes in cleaning carpets;node / area
carpet layer;2;craft;carpet layer;;A carpet layer is a tradesmen who specializes in laying carpets;node / area
caterer;2;craft;caterer;;A workplace or office of one who prepares customized meals for takeout, or provides prepared meals or supplies to a group at social gatherings;node / area
chimney sweeper;2;craft;chimney sweeper;;A workplace or office of a person who cleans chimneys for a living.;node / area
cleaning;2;craft;cleaning;;Workplace or office of a person who cleans buildings, industrial facilities or windows.;node / area
clockmaker;2;craft;clockmaker;;A workplace or office of a clockmaker that is building, repairing or engraving clocks of all sorts.;node / area
clothes mending;2;craft;clothes mending;;A place where clothing is mended (repaired) or altered professionally.;node / area
confectionery;2;craft;confectionery;;A place where the set of food items that are rich in sugar, any one or type of which is called a confection is produced.;node / area
cooper;2;craft;cooper;;A person or company that manufacture of containers and vessels mainly made of wood.;node / area
dental technician;2;craft;dental technician;;A workplace for a dental technician who constructs custom-made restorative and dental appliances.;node / area
distillery;2;craft;distillery;;An establishment for distilling, especially for distilling alcoholic liquors.;node / area
door construction;2;craft;door construction;;A workplace of someone constructing doors;node / area
dressmaker;2;craft;dressmaker;;Dressmaker is a person who makes custom clothing for women, such as dresses, blouses, and evening gowns.;node / area
electrician;2;craft;electrician;;A person or company that works with electricity or electrical systems.;node / area
electronics repair;2;craft;electronics repair;;Repair shops and service centres which provides repair of computers, phones, appliance etc.;node / area
elevator;2;craft;elevator;;Company specialized in installing elevators.;node / area
embroiderer;2;craft;embroiderer;;Needlework or textile artist;node / area
engraver;2;craft;engraver;;A workplace or office of an engraver.;node / area
fence maker;2;craft;fence maker;;A workplace or office of a person or company specialized in manufacturing and installing fences.;node / area
floorer;2;craft;floorer;;A workplace or office of a floorer.;node / area
gardener;2;craft;gardener;;A workplace or office of a garden designer or a landscape gardener.;node / area
glassblower;2;craft;glassblower;;A person or company that blows bottles or other objects from molten glass.;node / area
glaziery;2;craft;glaziery;;A place where residential, commercial, and artistic glass is selected, cut, installed, replaced, and removed.;node / area
goldsmith;2;craft;goldsmith;;The workplace of a person who forges things out of gold, especially jewelry.;node / area
grinding mill;2;craft;grinding mill;;A device that breaks solid materials into smaller pieces by grinding, crushing, or cutting. The aftermath is powdered product, not liquid extract like oil mill.;node / area
handicraft;2;craft;handicraft;;A place where useful and decorative devices are made completely by hand or using only simple tools;node / area
hvac;2;craft;hvac;;A workplace or office of a person or company that install and maintain HVAC systems (Heating, Ventilating, and Air Conditioning).;node / area
insulation;2;craft;insulation;;A workplace or office of a person who does thermal insulation in buildings.;node / area
interior decorator;2;craft;interior decorator;;Workplace or office of a person who does interior decoratoring.;node / area
interior work;2;craft;interior work;;Workplace of a person who builds/installs non-load-bearing interior walls, especially drywall.;node / area
jeweller;2;craft;jeweller;;A place where necklaces, rings, brooches, earrings and bracelets and other personal adornments are created or repaired.;node / area
joiner;2;craft;joiner;;An artisan who builds things by joining pieces of wood, particularly furniture or ornamental work.;node / area
key cutter;2;craft;key cutter;;A place where keys can be duplicated from originals.;node / area
laboratory;2;craft;laboratory;;A laboratory.;node / area
lapidary;2;craft;lapidary;;lapidary: a gemcutter;node / area
leather;2;craft;leather;;"A leatherworker; a person who makes things from leather.";node / area
locksmith;2;craft;locksmith;;The workshop of a craftsman who installs or repairs locks and opens locked doors.;node / area
luthier;2;craft;luthier;;Workshop of a luthier, who makes or repairs stringed wooden musical instruments, such as lutes, violins, and guitars.;node / area
metal construction;2;craft;metal construction;;Workplace or office of a person who work with metal. This applies to: planning, construction, trade, repair.;node / area
mint;2;craft;mint;;A place where coins and medals are hand crafted.;node / area
musical instrument;2;craft;musical instrument;;A craftsman creating musical instruments;node / area
oil mill;2;craft;oil mill;;A mill designed to crush or bruise oil-bearing seeds, such as linseed or peanuts, or other oil-rich vegetable material.;node / area
optician;2;craft;optician;;A place where lenses for the correction of a person's vision are designed, fitted and dispensed.;node / area
organ builder;2;craft;organ builder;;Organ building is the profession of designing, building, restoring and maintaining pipe organs.;node / area
painter;2;craft;painter;;A workplace or office of a house painter which is a tradesman responsible for the painting and decorating of buildings.;node / area
paperhanger;2;craft;paperhanger;;The office of a paperhanger.;node / area
parquet layer;2;craft;parquet layer;;A workplace or office of a parquet layer.;node / area
paver;2;craft;paver;;The workshop or office of a paver.;node / area
pest control;2;craft;pest control;;A business that offers pest control services;node / area
photographer;2;craft;photographer;;A workplace or office of a person who takes photographs using a camera.;node / area
photographic laboratory;2;craft;photographic laboratory;;A place where photos taken on a film or digital images are transformed into a more permanent form, often on paper or plastic foil.;node / area
photovoltaic;2;craft;photovoltaic;;A workplace or office who installed or planned photovoltaic systems.;node / area
piano tuner;2;craft;piano tuner;;A piano tuner or technician. A professional that tunes, regulates and makes the maintenance of pianos. Most of them repair simple problems and some restore a whole piano.;node / area
plasterer;2;craft;plasterer;;A workplace or office of a tradesman who works with plaster, such as forming a layer of plaster on an interior wall or plaster decorative moldings on ceilings or walls.;node / area
plumber;2;craft;plumber;;A workplace or office of a skilled tradesperson who specializes in (drinking) water supply, sewage and drainage systems.;node / area
pottery;2;craft;pottery;;A place where earthenware, stoneware and porcelain and other ceramic ware is made by potters.;node / area
printer;2;craft;printer;;A small printing business which produces published works such as newspapers, books, magazines, etc.;node / area
printmaker;2;craft;printmaker;;A producer of fine art prints.;node / area
restoration;2;craft;restoration;;Restorer.;node / area
rigger;2;craft;rigger;;The workplace of a person who sets up the rigging for sailboats and sailing ships (or possibly a person who works on ropes, booms, lifts, hoists and the like for a stage production).;node / area
roofer;2;craft;roofer;;A workplace or office of a tradesman who is specialized in roof covering and sealing.;node / area
saddler;2;craft;saddler;;A place where saddles or accessories for cars and boats are produced or repaired.;node / area
sailmaker;2;craft;sailmaker;;A workshop of a sailmaker who cleans, repairs and makes sails.;node / area
sawmill;2;craft;sawmill;;A sawmill is a facility where logs are cut into timber;node / area
scaffolder;2;craft;scaffolder;;A workplace or office of a tradesman who builds temporary structure used to support people and material in the construction or repair of buildings and other large structures.;node / area
sculptor;2;craft;sculptor;;The workplace of a sculptor.;node / area
shoemaker;2;craft;shoemaker;;A place where shoes, boots, sandals, clogs and moccasins are created, repaired or altered to fit personal needs.;node / area
signmaker;2;craft;signmaker;;A maker of signs, mainly for shops and other businesses.;node / area
stand builder;2;craft;stand builder;;A workplace of a company that builds stands/booths for fairs.;node / area
stonemason;2;craft;stonemason;;A place where rough pieces of rock are shaped into accurate geometrical shapes.;node / area
stove fitter;2;craft;stove fitter;;A workplace/office of a person / company who designs and builds stoves / tiled stoves.;node / area
sun protection;2;craft;sun protection;;A place where sun protection is made, repaired, or delivered for assembly, especially awnings and shutters.;node / area
tailor;2;craft;tailor;;A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing.;node / area
tatami;2;craft;tatami;;A workplace or office of an artisan for tatami mat.;node / area
tiler;2;craft;tiler;;A workplace or office of a person who lays tiles on floors, swimming pools and such.;node / area
tinsmith;2;craft;tinsmith;;A person who makes and repairs things made of light-coloured metal, particularly tinware.;node / area
toolmaker;2;craft;toolmaker;;A workplace of a company that builds complex tools, machine tools, moulds, gauges,... .;node / area
turner;2;craft;turner;;A workplace or office of a turner.;node / area
upholsterer;2;craft;upholsterer;;A place where furniture, especially seats are provided with padding, springs, webbing, and fabric or leather covers.;node / area
watchmaker;2;craft;watchmaker;;A watchmaker is an artisan who makes and repairs watches. Today due to industrial production they mostly repair watches.;node / area
water well drilling;2;craft;water well drilling;;A craftsman or company who drill water wells.;node / area
weaver;2;craft;weaver;;Workshop of a person producing something by weaving, may offer products for sale;node / area
welder;2;craft;welder;;One who unites pieces of metal with high temperature.;node / area
window construction;2;craft;window construction;;A workplace of someone constructing windows.;node / area
winery;2;craft;winery;;A place where wine is produced;node / area
ambulance station;3;emergency;medical rescue;ambulance station;An ambulance station is a structure or other area set aside for storage of ambulance vehicles, medical equipment, personal protective equipment, and other medical supplies.;node / area
defibrillator;3;emergency;medical rescue;defibrillator;Defibrillator (AED), an external and portable electronic device that diagnoses and can correct arrhythmia of the heart automatically.;node
landing site;3;emergency;medical rescue;landing site;Preselected flat area for a helicopter to land in an emergency situation;node / area
emergency ward entrance;3;emergency;medical rescue;emergency ward entrance;The entrance to an emergency ward.;node
fire service inlet;3;emergency;firefighters;fire service inlet;A inlet that allows the fire brigade pump water into a building.;node
fire alarm box;3;emergency;firefighters;fire alarm box;A device used for notifying a fire department of a fire.;node
fire extinguisher;3;emergency;firefighters;fire extinguisher;An active fire protection device used to extinguish or control small fires, often in emergency situations.;node
fire hose;3;emergency;firefighters;fire hose;A high-pressure hose used to carry water or other fire retardant (such as foam) to a fire to extinguish it.;node
fire hydrant;3;emergency;firefighters;fire hydrant;An active fire protection measure, and a source of water provided in most urban, suburban, and rural areas with municipal water service to enable fire fighters to tap into the municipal water supply to assist in extinguishing a fire.;node
water tank;3;emergency;firefighters;water tank;A large water basin or tank for a fire department to take water.;node / area
suction point;3;emergency;firefighters;suction point;A preferred point to pump water off a river or other waters for a fire department.;node
lifeguard;3;emergency;lifeguards;lifeguard;A place where a lifeguard is on duty;node / area
life ring;3;emergency;lifeguards;life ring;A floating ring to throw out to someone who is struggling in water.;node
tower;3;emergency;lifeguards;tower;A tower used by lifeguard to watch and supervise swimmers in order to prevent drownings and other dangers.;node / area
assembly point;3;emergency;assembly point;assembly point;A designated (safe) place where people can gather or must report to during an emergency or a fire drill.;node / area
phone;3;emergency;other structure;phone;Emergency telephone;node
siren;3;emergency;other structure;siren;A loud noise maker, such as an air raid siren or a tornado siren.;node
drinking water;3;emergency;other structure;drinking water;A facility that provides drinking water in emergency situations;node
moraine;2;geological;moraine;;Any accumulation of unconsolidated rock debris previously carried by a glacier.;node / way / area
outcrop;2;geological;outcrop;;A place where the bedrock or superficial deposits previously covered under the soil have become locally exposed;node / way / area
volcanic caldera rim;2;geological;volcanic caldera rim;;The crater (caldera) of a volcano.;way / area
fault;2;geological;fault;;A geological fault is a planar fracture or discontinuity in a volume of rock.;way
fold;2;geological;fold;;"Planar surfaces, such as sedimentary strata, that are bent or curved (""folded"")";node / way
palaeontological site;2;geological;palaeontological site;;A place with fossils.;node / area
volcanic lava field;2;geological;volcanic lava field;;An area with volcanic lava on the ground.;node / area
volcanic vent;2;geological;volcanic vent;;A hole through which the lava erupts.;node / area
glacial erratic;2;geological;glacial erratic;;A boulder deposited by a glacier.;node / area
rock glacier;2;geological;rock glacier;;Rock glaciers are mixtures of rock and ice that move slowly downhill when active;node / area / relation
giants kettle;2;geological;giants kettle;;A regular hole in a rock created by the rotation of stones in the bed of a stream.;node / area
meteor crater;2;geological;meteor crater;;A crater formed by the impact of a meteor.;node / area
hoodoo;2;geological;hoodoo;;A column of rock with a hat;node / way / area
columnar jointing;2;geological;columnar jointing;;Several hexagonal columns of rock;node / way / area
dyke;2;geological;dyke;;a sheet of rock that fills a fracture of a pre-existing rock body or when standing alone looking like a man made wall;node / way / area
monocline;2;geological;monocline;;Step-like fold in rock strata consisting of a zone of a dip comprised between ~65° and 90°;node / way
tor;2;geological;tor;;A large, free-standing rock outcrop that rises abruptly;node / area / relation
unconformity;2;geological;unconformity;;A buried erosional surface separating two rock masses or strata of different ages;node / way / area / relation
cone;2;geological;cone;;A landform with a distinctly conical shape;node / area / relation
sinkhole;2;geological;sinkhole;;A depression or hole in the ground caused by some form of collapse of the surface;node / area / relation
pingo;2;geological;pingo;;Pingos are intrapermafrost ice-cored hills;node / area / relation
inselberg;2;geological;inselberg;;Inselberg are isolated rock hill, knob, ridge, or small mountain;node / way / area / relation
limestone pavement;2;geological;limestone pavement;;A natural karst landform consisting of a flat surface of limestone;node / area / relation
alternative;2;healthcare;alternative;;Someone practising alternative or complementary medicine but is not a medical practitioner or a place where alternative or complementary medicine is practices that does not fit into the other categories (except healthcare=yes);
audiologist;2;healthcare;audiologist;;"Audiologist; if linked with a shop please use shop=hearing_aids instead";
birthing centre;2;healthcare;birthing centre;;A non-clinical birthing centre operated by midwives.;
blood bank;2;healthcare;blood bank;;Blood bank;
blood donation;2;healthcare;blood donation;;A facility where you can donate blood, plasma and/or platelets, and possibly have stem cell samples taken.;
counselling;2;healthcare;counselling;;Healthcare counselling, e.g. an addiction centre, a nutritionist, or a sex therapist. Also see healthcare=nutrition_counselling;
dialysis;2;healthcare;dialysis;;A clinic for day patients to get a haemodialysis Dialysis;
hospice;2;healthcare;hospice;;A Hospice which provides palliative care to terminal ill people and support to their relatives.;
laboratory;2;healthcare;laboratory;;Medical laboratory also called (analytical, diagnostic) is a place that analyses body fluids such as blood, urine, faeces etc .;
midwife;2;healthcare;midwife;;A Midwife, a health professional who cares for mothers and newborns around childbirth.;
nurse;2;healthcare;nurse;;Nursing. A facility where some nurses may receive their patients.;
occupational therapist;2;healthcare;occupational therapist;;Someone who practices occupational therapy but is not a medical practitioner.;
optometrist;2;healthcare;optometrist;;"Optometrist; If linked with a shop please use shop=optician instead.";
physiotherapist;2;healthcare;physiotherapist;;Someone who practices physical therapy (or kinesiotherapy in French-speaking countries) but is not a medical practitioner.;
podiatrist;2;healthcare;podiatrist;;Someone who practices podiatry but is not a Physician on Wikipedia.;
psychotherapist;2;healthcare;psychotherapist;;Someone who practices psychotherapy but is not a Physician on Wikipedia.;
rehabilitation;2;healthcare;rehabilitation;;"Medical rehabilitation facility; should not be used for a wellness clinic or hotel.";
sample collection;2;healthcare;sample collection;;Site or dedicated healthcare facility where samples of blood/urine/etc are obtained or collected for purpose of analysing them for healthcare diagnostics.;
speech therapist;2;healthcare;speech therapist;;Someone who practices speech and language therapy.;
vaccination centre;2;healthcare;vaccination centre;;a healthcare facility specifically dedicated to administering vaccinations to individuals, to provide immunisation against infectious diseases.;
motorway;3;highway;roads;motorway;A restricted access major divided highway, normally with 2 or more running lanes plus emergency hard shoulder. Equivalent to the Freeway, Autobahn, etc..;way
trunk;3;highway;roads;trunk;The most important roads in a country's system that aren't motorways. (Need not necessarily be a divided highway.);way
primary;3;highway;roads;primary;The next most important roads in a country's system. (Often link larger towns.);way
secondary;3;highway;roads;secondary;The next most important roads in a country's system. (Often link towns.);way
tertiary;3;highway;roads;tertiary;The next most important roads in a country's system. (Often link smaller towns and villages);way
unclassified;3;highway;roads;unclassified;"The least important through roads in a country's system – i.e. minor roads of a lower classification than tertiary, but which serve a purpose other than access to properties. (Often link villages and hamlets.)
The word 'unclassified' is a historical artefact of the UK road system and does not mean that the classification is unknown; you can use highway=road for that.";way
residential;3;highway;roads;residential;Roads which serve as an access to housing, without function of connecting settlements. Often lined with housing.;way
motorway link;3;highway;link roads;motorway link;The link roads (sliproads/ramps) leading to/from a motorway from/to a motorway or lower class highway. Normally with the same motorway restrictions.;way
trunk link;3;highway;link roads;trunk link;The link roads (sliproads/ramps) leading to/from a trunk road from/to a trunk road or lower class highway.;way
primary link;3;highway;link roads;primary link;The link roads (sliproads/ramps) leading to/from a primary road from/to a primary road or lower class highway.;way
secondary link;3;highway;link roads;secondary link;The link roads (sliproads/ramps) leading to/from a secondary road from/to a secondary road or lower class highway.;way
tertiary link;3;highway;link roads;tertiary link;The link roads (sliproads/ramps) leading to/from a tertiary road from/to a tertiary road or lower class highway.;way
living street;3;highway;special road types;living street;For living streets, which are residential streets where pedestrians have legal priority over cars, speeds are kept very low.;way
service;3;highway;special road types;service;For access roads to, or within an industrial estate, camp site, business park, car park, alleys, etc. Can be used in conjunction with service=* to indicate the type of usage and with access=* to indicate who can use it and in what circumstances.;way / area
pedestrian;3;highway;special road types;pedestrian;For roads used mainly/exclusively for pedestrians in shopping and some residential areas which may allow access by motorised vehicles only for very limited periods of the day. To create a 'square' or 'plaza' create a closed way and tag as pedestrian and also with area=yes.;way / area
track;3;highway;special road types;track;Roads for mostly agricultural or forestry uses. To describe the quality of a track, see tracktype=*. Note: Although tracks are often rough with unpaved surfaces, this tag is not describing the quality of a road but its use. Consequently, if you want to tag a general use road, use one of the general highway values instead of track.;way
bus guideway;3;highway;special road types;bus guideway;A busway where the vehicle guided by the way (though not a railway) and is not suitable for other traffic. Please note: this is not a normal bus lane, use access=no, psv=yes instead!;way
escape;3;highway;special road types;escape;For runaway truck ramps, runaway truck lanes, emergency escape ramps, or truck arrester beds. It enables vehicles with braking failure to safely stop.;way
raceway;3;highway;special road types;raceway;A course or track for (motor) racing;way
road;3;highway;special road types;road;A road/way/street/motorway/etc. of unknown type. It can stand for anything ranging from a footpath to a motorway. This tag should only be used temporarily until the road/way/etc. has been properly surveyed. If you do know the road type, do not use this value, instead use one of the more specific highway=* values.;way
busway;3;highway;special road types;busway;A dedicated roadway for bus rapid transit systems;way
footway;3;highway;paths;footway;"For designated footpaths; i.e., mainly/exclusively for pedestrians. This includes walking tracks and gravel paths. If bicycles are allowed as well, you can indicate this by adding a bicycle=yes tag. Should not be used for paths where the primary or intended usage is unknown. Use highway=pedestrian for pedestrianised roads in shopping or residential areas and highway=track if it is usable by agricultural or similar vehicles. For ramps (sloped paths without steps), combine this tag with incline=*.";way / area
bridleway;3;highway;paths;bridleway;For horse riders. Pedestrians are usually also permitted, cyclists may be permitted depending on local rules/laws. Motor vehicles are forbidden.;way
steps;3;highway;paths;steps;For flights of steps (stairs) on footways. Use with step_count=* to indicate the number of steps;way
corridor;3;highway;paths;corridor;For a hallway inside of a building.;way
path;3;highway;paths;path;A non-specific path. Use highway=footway for paths mainly for walkers, highway=cycleway for one also usable by cyclists, highway=bridleway for ones available to horse riders as well as walkers and highway=track for ones which is passable by agriculture or similar vehicles.;way
via ferrata;3;highway;paths;via ferrata;A via ferrata is a route equipped with fixed cables, stemples, ladders, and bridges in order to increase ease and security for climbers. These via ferrata require equipment : climbing harness, shock absorber and two short lengths of rope, but do not require a long rope as for climbing.;way
sidewalk;3;highway;footway;sidewalk;Sidewalk that runs typically along residential road. Use in combination with highway=footway or highway=path;way
crossing;3;highway;footway;crossing;Crosswalk that connects two sidewalks on the opposite side of the road. Often recognized by painted markings on the road, road sign or traffic lights. Use in combination with highway=footway or highway=path. Useful information is presence of tactile_paving=*, wheelchair=* suitability and kerb=* represented as a node on the crosswalk way.;way
traffic island;3;highway;footway;traffic island;The way between two crossings, safespot for pedestrians, has micromapping characteristics as a detailed alternative to =*. Use in combination with highway=footway or highway=path.;way
cycleway;3;highway;when cycleway is drawn as its own way (see bicycle);cycleway;For designated cycleways. Add foot=*, though it may be avoided if default-access-restrictions do apply.;way
lane;3;highway;cycleway;lane;A lane is a route that lies within the roadway;way
track;3;highway;cycleway;track;A track provides a route that is separated from traffic. In the United States, this term is often used to refer to bike lanes that are separated from lanes for cars by pavement buffers, bollards, parking lanes, and curbs. Note that a cycle track may alternatively be drawn as a separate way next to the road which is tagged as highway=cycleway.;way
share busway;3;highway;cycleway;share busway;There is a bus lane that cyclists are permitted to use.;way
shared lane;3;highway;cycleway;shared lane;"Cyclists share a lane with motor vehicles, there are markings reminding about this. In some places these markings are known as ""sharrows"" ('sharing arrows') and this is the tag to use for those.";way
proposed;3;highway;lifecycle (see also lifecycle prefixes);proposed;For planned roads, use with proposed=* and a value of the proposed highway value.;way
construction;3;highway;lifecycle (see also lifecycle prefixes);construction;For roads under construction. Use construction=* to hold the value for the completed road.;way
